"252091151;40.4632393;-3.5872663;Jorge SMM;28803;1;321285;2008-03-14T13:32:12Z"

"252516334;40.3915638;-3.5089951;Serfuen;777223;5;21755331;2014-04-17T19:05:14Z"

"252802581;40.4598446;-3.4752481;gpesquero;3584;3;10138890;2011-12-17T15:01:11Z"

"252981141;40.1073883;-3.6094748;jamesks;2500;3;759537;2008-11-17T13:52:34Z"

"253103258;40.7292056;-3.8639411;jamesks;2500;2;852038;2009-03-24T10:24:12Z"

"253449447;40.4751513;-3.8617542;sergionaranja;33103;5;10802331;2012-02-26T19:44:01Z"

"254358937;40.4675985;-3.663464;Cuenqui;3649461;7;46205136;2017-02-19T01:31:32Z"

"254459885;39.8621836;-3.9950061;Ropino;42123;2;15842731;2013-04-23T22:03:05Z"

"254654904;39.888501;-4.0191816;sanchi;170106;10;6385999;2010-11-16T16:03:44Z"

"254996924;40.4707586;-3.6507713;rafaerti;468314;6;11517496;2012-05-06T11:55:05Z"

"255281739;40.4891014;-3.6537528;Luiyo;316694;3;28451090;2015-01-27T20:12:45Z"

"255561337;40.400756;-3.735554;ivansanchez;5265;1;33054;2008-04-03T17:36:39Z"

"255635575;40.5879946;-3.7043918;radnaj;13135;5;39838083;2016-06-06T13:00:45Z"

"255951512;40.8141265;-3.9699289;Javi Sanchez;18004;1;67093;2008-04-05T23:09:59Z"

"256085448;40.0545247;-3.2577464;Serfuen;777223;8;27404135;2014-12-11T18:32:32Z"

"256259691;40.4478549;-3.7894755;carlosz22;718437;3;38048858;2016-03-24T20:09:19Z"

"256337426;40.3677188;-3.5087438;Jorge SMM;28803;1;81926;2008-04-07T23:19:06Z"

"256616713;40.4860514;-3.6892894;eSe;13091;1;104797;2008-04-09T21:59:39Z"

"257519637;40.5480062;-3.6524462;mor;220932;2;38610539;2016-04-16T02:54:57Z"

"257726897;40.5589227;-3.6327648;jamesks;2500;2;685331;2009-02-27T17:05:44Z"

"258358230;40.450626;-3.791823;sergionaranja;33103;2;15639525;2013-04-07T12:19:12Z"

"258605315;40.4534829;-3.8746014;sergionaranja;33103;9;10007313;2011-12-01T11:49:59Z"

"258853341;40.4513862;-3.8966723;sergionaranja;33103;1;207778;2008-04-20T16:46:46Z"

"259049930;40.5154221;-3.7721384;Jorge SMM;28803;1;217324;2008-04-21T17:36:35Z"

"259160161;40.6963496;-3.6016345;jamesks;2500;4;835024;2009-03-20T12:07:04Z"

